Nome,Cognome,Nome_Completo,height,weight
Tosan,Evbuomwan,Tosan Evbuomwan,2.01,98.4
Kawhi,Leonard,Kawhi Leonard,2.01,102.1
Emoni,Bates,Emoni Bates,2.03,91.6
RayJ,Dennis,RayJ Dennis,1.88,81.6
Elijah,Harkless,Elijah Harkless,1.91,88.5
Eugene,Omoruyi,Eugene Omoruyi,1.98,106.6
Daeqwon,Plowden,Daeqwon Plowden,1.98,98.0
GG,Jackson,GG Jackson,2.06,95.3
Anton,Watson,Anton Watson,2.03,102.1
Kylor,Kelley,Kylor Kelley,2.13,104.3
Zyon,Pullin,Zyon Pullin,1.93,93.4
Danté,Exum,Danté Exum,1.96,97.1
Emanuel,Miller,Emanuel Miller,2.01,97.5
Ron,Harper Jr.,Ron Harper Jr.,1.93,105.7
Keion,Brooks Jr.,Keion Brooks Jr.,2.01,95.3
Jackson,Rowe,Jackson Rowe,2.01,95.3
Chuma,Okeke,Chuma Okeke,2.01,103.9
Jordan,Goodwin,Jordan Goodwin,1.96,97.5
Bismack,Biyombo,Bismack Biyombo,2.03,115.7
Jahlil,Okafor,Jahlil Okafor,2.08,122.5
Damion,Baugh,Damion Baugh,1.93,88.0
Markelle,Fultz,Markelle Fultz,1.93,94.8
Dink,Pate,Dink Pate,2.03,95.0
Nae'Qwan,Tomlin,Nae'Qwan Tomlin,2.08,95.3
Killian,Hayes,Killian Hayes,1.96,88.5
Erik,Stevenson,Erik Stevenson,1.93,93.0
Lamar,Stevens,Lamar Stevens,2.01,104.3
Kevin,Knox II,Kevin Knox II,2.03,97.5
Lonnie,Walker IV,Lonnie Walker IV,1.93,92.5
Yuri,Collins,Yuri Collins,1.83,86.2
Jalen,McDaniels,Jalen McDaniels,2.06,86.2
Mitchell,Robinson,Mitchell Robinson,2.13,108.9
Jahmir,Young,Jahmir Young,1.85,83.9
Malachi,Flynn,Malachi Flynn,1.85,83.9
Tony,Bradley,Tony Bradley,2.11,112.5
Kevon,Harris,Kevon Harris,1.96,98.0
Skal,Labissiere,Skal Labissiere,2.08,106.6
Miles,Norris,Miles Norris,2.01,99.8
Jamaree,Bouyea,Jamaree Bouyea,1.88,81.6
Tolu,Smith,Tolu Smith,2.11,
Ethan,Thompson,Ethan Thompson,1.96,88.5
Tyson,Etienne,Tyson Etienne,1.88,90.7
Taran,Armstrong,Taran Armstrong,1.96,86.2
Braxton,Key,Braxton Key,2.03,102.1
P.J.,Tucker,P.J. Tucker,1.96,111.1
Marcus,Garrett,Marcus Garrett,1.96,93.0
Oshae,Brissett,Oshae Brissett,2.01,95.3
Terry,Taylor,Terry Taylor,1.93,104.3
Marcus,Bagley,Marcus Bagley,1.98,98.4
Kevin,McCullar Jr.,Kevin McCullar Jr.,1.98,95.3
Phillip,Wheeler,Phillip Wheeler,2.03,83.9
Drew,Timme,Drew Timme,2.08,106.6
Jaylen,Sims,Jaylen Sims,1.98,95.3
Terence,Davis,Terence Davis,1.93,91.2
Isaiah,Mobley,Isaiah Mobley,2.03,108.0
