epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
167,1384.09,0.3821,0.23187,0.81324,0.57563,0.57046,0.54806,0.30345,0.93291,0.48478,1.07932,8.915e-05,8.915e-05,8.915e-05
168,1392.41,0.38265,0.23627,0.82534,0.58028,0.54985,0.55677,0.30469,0.9326,0.47254,1.07985,8.6675e-05,8.6675e-05,8.6675e-05
169,1400.36,0.37024,0.22824,0.81011,0.57345,0.5714,0.55361,0.30205,0.92758,0.46124,1.07968,8.42e-05,8.42e-05,8.42e-05
170,1408.21,0.37581,0.2303,0.8134,0.56805,0.55887,0.55373,0.30046,0.92657,0.46261,1.08079,8.1725e-05,8.1725e-05,8.1725e-05
171,1416.04,0.36606,0.22621,0.81494,0.57752,0.55378,0.55548,0.30164,0.92691,0.46412,1.07911,7.925e-05,7.925e-05,7.925e-05
172,1423.88,0.37053,0.2273,0.81081,0.57636,0.57463,0.56443,0.30636,0.92713,0.46617,1.08009,7.6775e-05,7.6775e-05,7.6775e-05
173,1432.12,0.37674,0.233,0.81688,0.59319,0.58387,0.56358,0.3061,0.92428,0.46579,1.07897,7.43e-05,7.43e-05,7.43e-05
174,1439.97,0.3619,0.2254,0.80578,0.59105,0.58072,0.55047,0.30911,0.92376,0.46573,1.07846,7.1825e-05,7.1825e-05,7.1825e-05
175,1448.98,0.37133,0.22971,0.82339,0.59829,0.5507,0.54154,0.30892,0.92757,0.46182,1.07868,6.935e-05,6.935e-05,6.935e-05
176,1457.19,0.36132,0.22781,0.80748,0.63388,0.54684,0.55077,0.30716,0.9295,0.46673,1.08125,6.6875e-05,6.6875e-05,6.6875e-05
177,1465.18,0.37496,0.23172,0.81992,0.62309,0.55263,0.55071,0.30663,0.9281,0.46671,1.08154,6.44e-05,6.44e-05,6.44e-05
178,1473.33,0.35778,0.22119,0.80692,0.64538,0.54176,0.5588,0.31292,0.92877,0.4706,1.08284,6.1925e-05,6.1925e-05,6.1925e-05
179,1482.42,0.36875,0.22753,0.81228,0.61638,0.5436,0.56038,0.31282,0.92984,0.47104,1.08383,5.945e-05,5.945e-05,5.945e-05
180,1490.72,0.35423,0.22402,0.81142,0.62888,0.5409,0.55584,0.31229,0.92747,0.46361,1.08322,5.6975e-05,5.6975e-05,5.6975e-05
181,1498.56,0.37051,0.22485,0.82028,0.61615,0.53755,0.53957,0.30715,0.92779,0.45952,1.08537,5.45e-05,5.45e-05,5.45e-05
